track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,mode,bpm
5vjLSffimiIP26QG5WcN2K,0.469,0.618,0.443,0.0,0.0829,-9.681,0.0526,0.167,1,119.949
1EzrEOXmMH3G43AXT1y7pA,0.559,0.703,0.444,0.0,0.0973,-9.331,0.0417,0.712,1,150.96
3S0OXQeoh0w6AY8WQVckRW,0.559,0.703,0.444,0.0,0.0973,-9.331,0.0417,0.712,1,150.96
08MFgEQeVLF37EyZ7jcwLc,0.868,0.375,0.457,0.0145,0.191,-7.018,0.0315,0.415,1,174.839
6Vc5wAMmXdKIAM7WUoEb7N,0.857,0.407,0.147,2.89e-06,0.0913,-8.822,0.0355,0.0765,1,141.284
0IktbUcnAGrvD03AWnz3Q8,0.294,0.625,0.414,0.0,0.151,-8.7,0.0369,0.669,1,130.088
4mzP5mHkRvGxdhdGdAH7EJ,0.279,0.627,0.363,0.0,0.0928,-8.127,0.0291,0.301,1,99.905
5SuOikwiRyPMVoIQDJUgSV,0.0322,0.676,0.461,1.01e-06,0.358,-6.746,0.143,0.715,0,87.917
5p9XWUdvbUzmPCukOmwoU3,0.225,0.587,0.767,0.0,0.112,-5.713,0.0449,0.664,1,100.38
4E6cwWJWZw2zWf7VFbH7wf,0.0208,0.583,0.786,0.0,0.188,-3.142,0.0301,0.573,0,123.055
1q8NdCAQ9QUjpYiqzdd3mv,0.0959,0.829,0.878,0.0,0.776,-5.951,0.101,0.883,1,87.991
3kNVYo6BJE9AENxzokM9YC,0.789,0.675,0.588,0.0,0.95,-7.168,0.177,0.879,1,79.989
1TdaQqgKRbiFdO15q1kv6e,0.122,0.721,0.833,0.000115,0.135,-7.469,0.0777,0.549,1,100.005
1jlKdNbOA90rjnt88GJnwO,0.159,0.748,0.538,1.62e-06,0.167,-9.943,0.222,0.779,1,124.974
1RIhd7jjWDQwSKsbxxGArN,0.664,0.582,0.443,0.0,0.0703,-7.816,0.0436,0.452,1,78.071
4pR4oQJULf7FDB54TleMyH,0.241,0.443,0.778,0.0,0.215,-7.564,0.266,0.628,0,128.25
2Y3x5VcEAxLNmVHxQOE0jB,0.0751,0.778,0.399,0.835,0.103,-8.984,0.0858,0.321,1,137.305
1xuYajTJZh8zZrPRmUaagf,0.59,0.691,0.805,0.0,0.0975,-6.81,0.0947,0.866,0,142.503
4YEU9N2XAE0DfUwxWI5ijA,0.199,0.761,0.488,0.00236,0.0864,-7.326,0.043,0.682,1,100.024
3HgPOHHJWnMfv1Zw27Jh2V,0.225,0.542,0.869,0.891,0.0453,-6.18,0.0954,0.962,1,190.509
2QjOHCTQ1Jl3zawyYOpxh6,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,0.398,1,124.053
5E30LdtzQTGqRvNd7l6kG5,0.0678,0.588,0.521,0.149,0.123,-9.461,0.0329,0.337,1,85.012
2K7xn816oNHJZ0aVqdQsha,0.0484,0.575,0.568,0.000417,0.286,-5.509,0.03,0.37,0,93.986
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236,1,148.033
70LcF31zb1H0PyJoS1Sx1r,0.0097,0.515,0.43,0.000133,0.129,-9.935,0.0372,0.104,1,91.844
3dPQuX8Gs42Y7b454ybpMR,0.0039,0.743,0.446,0.118,0.337,-7.807,0.0683,0.278,0,123.596
31AOj9sFz2gM0O3hMARRBx,0.179,0.666,0.855,1.2e-06,0.0987,-5.051,0.0295,0.803,0,125.639
5UWwZ5lm5PKu6eKsHAGxOk,5.99e-05,0.413,0.881,0.000308,0.0805,-5.541,0.0367,0.364,0,158.066
2Y0iGXY6m6immVb2ktbseM,0.0102,0.705,0.712,0.000855,0.1,-6.156,0.0385,0.62,1,97.512
7zwn1eykZtZ5LODrf7c0tS,0.186,0.551,0.881,0.0791,0.152,-6.099,0.0542,0.387,0,88.036
2QjOHCTQ1Jl3zawyYOpxh6,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,0.398,1,124.053
5E30LdtzQTGqRvNd7l6kG5,0.0678,0.588,0.521,0.149,0.123,-9.461,0.0329,0.337,1,85.012
73vIOb4Q7YN6HeJTbscRx5,0.0128,0.587,0.742,0.00107,0.146,-6.64,0.0529,0.199,0,145.007
2K7xn816oNHJZ0aVqdQsha,0.0484,0.575,0.568,0.000417,0.286,-5.509,0.03,0.37,0,93.986
4fouWK6XVHhzl78KzQ1UjL,0.299,0.695,0.54,0.0,0.367,-5.692,0.0493,0.415,1,121.932
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,0.236,1,148.033
60a0Rd6pjrkxjPbaKzXjfq,0.00958,0.556,0.864,0.0,0.209,-5.87,0.0584,0.4,0,105.143
70LcF31zb1H0PyJoS1Sx1r,0.0097,0.515,0.43,0.000133,0.129,-9.935,0.0372,0.104,1,91.844
3dPQuX8Gs42Y7b454ybpMR,0.0039,0.743,0.446,0.118,0.337,-7.807,0.0683,0.278,0,123.596
0d28khcov6AiegSCpG5TuT,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,0.772,1,138.559
0yc6Gst2xkRu0eMLeRMGCX,0.0205,0.37,0.467,0.572,0.109,-9.013,0.0273,0.182,1,94.485
1BncfTJAWxrsxyT9culBrj,0.934,0.447,0.449,0.961,0.0697,-10.634,0.0376,0.036,1,92.468
1FWsomP9StpCcXNWmJk8Cl,0.139,0.454,0.4,0.846,0.137,-10.261,0.0265,0.327,1,93.719
0SpkyS1Q4MD8GaVcP5YjT4,0.0527,0.405,0.479,0.795,0.0974,-9.396,0.0301,0.131,1,75.37
3p4hRhMcb6ch8OLtATMaLw,0.756,0.406,0.399,0.678,0.112,-10.449,0.0278,0.163,1,142.83
6ilc4vQcwMPlvAHFfsTGng,0.353,0.45,0.511,0.766,0.139,-9.073,0.0276,0.115,1,96.563
7qH9Z4dJEN0l9bidizW7fq,0.805,0.457,0.407,0.884,0.126,-11.475,0.0308,0.126,1,117.053
2aJDlirz6v2a4HREki98cP,0.0158,0.853,0.798,0.948,0.0967,-7.995,0.068,0.42,0,129.983
7CoMBpPTwQi2wPT0U0Nr9b,0.959,0.509,0.31,0.229,0.0963,-10.623,0.0313,0.151,1,137.474
1Wdj4wRDYS7aT4CoPS0mAH,0.707,0.593,0.5,1.24e-05,0.0837,-8.532,0.029,0.465,1,117.996
3khEEPRyBeOUabbmOPJzAG,0.00207,0.577,0.941,3.36e-06,0.0891,-5.17,0.105,0.292,1,101.921
5elW2CKSoqjYoJ32AGDxf1,0.458,0.738,0.67,0.0,0.361,-3.766,0.0439,0.651,0,138.055
0UzymivvUH5s8z4PeWZJaK,0.0642,0.6,0.713,0.0,0.142,-5.079,0.0592,0.471,0,72.999
7v8wKvNQQIxkugCFFjrkaO,0.000627,0.367,0.896,0.0,0.207,-4.002,0.091,0.38,1,170.863
6PRy17C5LiiN7VCLS6IA98,0.0364,0.658,0.9,0.0,0.0771,-3.479,0.264,0.526,0,156.096
4NaaF28BeO9WzjDrSS71Nz,0.0209,0.736,0.695,0.0,0.0517,-3.87,0.0468,0.784,1,109.976
6y4GYuZszeXNOXuBFsJlos,0.0119,0.584,0.911,0.0,0.119,-3.515,0.09,0.606,0,92.502
1wcr8DjnN59Awev8nnKpQ4,0.000707,0.599,0.869,0.0,0.0911,-5.174,0.0618,0.453,0,132.889
2uMNMcjjUz8oNIxjIu20qE,0.203,0.749,0.85,0.0,0.18,-5.39,0.126,0.912,0,117.968
0qMip0B2D4ePEjBJvAtYre,0.00321,0.541,0.977,5.13e-05,0.0796,-2.828,0.157,0.263,0,134.938
7v9HNMlAe2UBaEhvaCk5wX,2.45e-05,0.25,0.952,0.0135,0.0892,-4.059,0.209,0.126,0,143.022
4AP3a7eEOlz5sTJiWnv2C6,3.05e-05,0.168,0.974,0.641,0.0752,-9.116,0.112,0.0943,1,93.424
6WuqJLVZcyJklg7lIozAO8,0.00066,0.462,0.905,0.0402,0.0839,-3.825,0.0438,0.253,0,122.925
0bKs1y9PTFBddM9qj0JGvb,9.03e-05,0.303,0.969,0.844,0.417,-2.466,0.162,0.163,1,109.384
5v3TSHYm8BzbON2u6QBEG7,1.5e-06,0.295,0.545,0.891,0.585,-9.214,0.0442,0.438,0,54.669
6IvxXL0dqXJlgIoIFfMqFA,9.66e-06,0.533,0.954,0.398,0.051,-6.632,0.0505,0.398,1,129.758
4nwkxiAVNFMlF360A80vqQ,2.68e-05,0.555,0.959,0.543,0.0969,-4.58,0.0668,0.299,1,102.531
0mJUxFpEI1eAOIIfnNoZ4G,7.16e-05,0.428,0.972,0.0736,0.0787,-1.998,0.0666,0.225,0,118.306
5wWRdIjndDOh1j4OXAPpdD,1.92e-06,0.219,0.908,0.933,0.319,-8.505,0.1,0.208,1,121.476
0A4Xb4Io50uHnHZ1V8x2KC,1.27e-05,0.265,0.962,0.000862,0.4,-4.871,0.108,0.156,1,167.759
11TmWrHkxwtVcCtEdAXjJA,0.912,0.582,0.371,0.00784,0.108,-9.585,0.028,0.163,0,128.756
2XgGdD5d2MW4RNx8KnIjVh,0.581,0.621,0.403,0.0,0.114,-8.211,0.0359,0.634,1,145.523
53DVsTZvB16BDP30XmfSef,0.884,0.657,0.368,0.00293,0.109,-9.978,0.0281,0.522,1,116.221
5VYOUBkObeGOnCt30YDTJ3,0.883,0.373,0.276,0.0124,0.122,-14.945,0.0357,0.409,1,79.204
6HveTIMynTMzTc5L0TcS20,0.752,0.514,0.243,0.00054,0.0822,-12.348,0.0288,0.388,1,171.816
7CEV9VwA8XO9wwxTXgYKvY,0.831,0.424,0.264,7.08e-05,0.0763,-9.984,0.0298,0.169,1,139.593
2oeEe3EdRBaUPRHmIbgQLU,0.919,0.587,0.141,5.41e-06,0.103,-9.386,0.0308,0.505,1,105.38
7FqrsV0vBwNiQNQI6jfzni,0.202,0.571,0.427,0.0,0.1,-7.574,0.0405,0.894,1,142.454
6VfY0sgS4j4JpFQH8kk4XA,0.692,0.648,0.352,0.262,0.106,-10.11,0.0278,0.173,1,121.461
5qm0KiVKMXW1kq6VrnIhz5,0.162,0.449,0.775,0.149,0.248,-12.029,0.0405,0.313,1,94.907
3dPQuX8Gs42Y7b454ybpMR,0.0039,0.743,0.446,0.118,0.337,-7.807,0.0683,0.278,0,123.596
7e89621JPkKaeDSTQ3avtg,0.181,0.596,0.605,0.000331,0.0863,-12.145,0.0255,0.886,1,97.798
2tznHmp70DxMyr2XhWLOW0,0.0807,0.636,0.676,0.0,0.0831,-3.442,0.0263,0.273,1,113.98
1qRA5BS78u3gME0loMl9AA,0.406,0.653,0.519,0.0209,0.101,-10.164,0.0497,0.822,1,98.883
5MAK1nd8R6PWnle1Q1WJvh,0.00713,0.509,0.448,0.0137,0.244,-7.552,0.0357,0.221,0,156.909
5EWPGh7jbTNO2wakv8LjUI,0.0738,0.249,0.834,9.48e-05,0.0924,-8.21,0.0577,0.338,1,118.223
2aoo2jlRnM3A0NyLQqMN2f,0.00255,0.438,0.805,5.69e-05,0.0842,-6.237,0.0624,0.564,1,113.253
70YvYr2hGlS01bKRIho1HM,0.00249,0.545,0.64,0.0304,0.196,-9.937,0.224,0.606,0,80.544
7vguMCv8uVuZLiQJ156u3Z,0.0162,0.573,0.539,1.16e-05,0.105,-6.091,0.0322,0.39,0,75.012
6zC0mpGYwbNTpk9SKwh08f,0.649,0.572,0.214,0.129,0.125,-15.625,0.0293,0.485,1,95.542
6GomT970rCOkKAyyrwJeZi,0.0169,0.848,0.821,0.000403,0.0962,-5.408,0.0527,0.249,0,125.051
4ekDggjElGJX9kNSOtnbVf,0.00412,0.723,0.57,0.00183,0.0862,-8.589,0.0429,0.575,0,123.979
5T4lERmPqhO2ukZoGJ5sSr,0.0276,0.843,0.713,0.76,0.0961,-5.487,0.0851,0.298,1,123.983
0XMl0fVTh3PyPlwyJTn33n,0.101,0.711,0.722,1.26e-05,0.628,-8.438,0.202,0.398,1,120.058
5GCz9BOkt17aI6ZOR3EiUl,0.0364,0.6,0.869,0.0,0.287,-5.565,0.315,0.786,0,85.409
5Fyy3M7hzyp1LVymB5jP2O,0.0319,0.736,0.816,0.0,0.202,-5.157,0.0732,0.466,1,126.02
1JyQVDd48BprQrdEOpmodT,0.0162,0.813,0.849,0.000108,0.0765,-4.719,0.0617,0.535,1,124.018
6l6RuG9usSZXu2s0NsyLWe,0.00651,0.753,0.619,0.611,0.282,-9.708,0.0572,0.886,0,125.983
29ZrGQad8homm9iN5mZQlp,0.408,0.457,0.633,0.0,0.345,-6.056,0.0315,0.224,1,137.956
0bMAWV9DDN2fllpvCtpzWl,0.0206,0.423,0.74,0.0,0.523,-5.309,0.0344,0.166,0,135.906
0Ja4hLKiUSw01E01pJ1yGr,0.0121,0.673,0.808,0.878,0.037,-6.183,0.0491,0.303,1,130.041
7kXmJwrZGIhDaLT9sNo3ut,0.119,0.632,0.92,0.508,0.114,-4.976,0.0531,0.363,1,127.001
4bz7uB4edifWKJXSDxwHcs,0.0141,0.745,0.714,0.0222,0.363,-3.681,0.0751,0.365,1,104.003
79CUrU5o2KAVDTNm4x3eGU,0.00335,0.545,0.948,0.364,0.226,-5.098,0.0779,0.355,1,141.507
48vDCZIRmrFO33fH4QU4ij,0.00306,0.604,0.995,0.626,0.109,-3.641,0.164,0.262,0,136.216
6cYJBIE9FC1QAoPw5EhdLA,0.00225,0.652,0.944,0.276,0.103,-4.804,0.0515,0.454,1,147.078
